NOME_DO_LOCAL,ENDERECO,WHATSAPP,ITENS_DISPONIVEIS,ITENS_EM_FALTA,LATITUDE,LONGITUDE,CIDADE
COLÉGIO RAINHA DO BRASIL,"R. Paulino Chaves, 262 - Santo Antônio, Porto Alegre - Rio Grande do Sul",Não informado,Água,"Roupa Íntima Infantil, Roupas Masculinas G E Gg, Roupa Íntima (adulto) Feminina E Masculina, Chinelos masculinos, Desodorante , Azeite, Roupa íntima masculina e feminina, Roupas femininas G/GG, Roupa plus size, Arroz",-30.05825119999999,-51.2008257,Porto Alegre
GERALDO SANTANA,"Grêmio Geraldo Santana, Rua Luiz De Camões, 337 - Rio Grande do Sul",Não informado,Água,"Roupas grandes, Roupas para crianças, Roupas Masculinas G E Gg, Esponjas De Louça, Roupas para adultos, Sapato Infantil , Turno da madrugada, Sabão em pó , Shampoo, Roupas íntimas",-30.0551779,-51.2009834,Porto Alegre
35 CTG,"Av. Ipiranga, N° 5300 - Jardim Botânico Poa - Rio Grande do Sul",https://www.instagram.com/35ctg_oficial/,Água,"Lanternas, Comidas Não Perecíveis, Sabonetes, Absorventes higiênicos, Escova de dentes, Colchões, Ração para animais, Roupas íntimas, Sacos de lixo, Pasta de dente",-30.0549881,-51.1869725,Porto Alegre
ESCOLA GRANDE ORIENTE,"R. Wolfram Metzler, 600 - Rio Grande do Sul",Não informado,Água,"Caminhão Pipa, Medicamentos prescritos, Pratos, Cadeiras (tipo de praia), Roupas íntimas, Fralda RN, Sacos de lixo, Produtos de desinfecção (cloro, álcool), Água potável, Copos",-29.6786759,-51.0857556,Campo Bom
MORRO DO SABIÁ,"Rua Ney Castilhos Ferreira, 301 - Pedra Redonda - Rio Grande do Sul",Não informado,Água,"Roupas para crianças, Roupa Íntima (adulto) Feminina E Masculina, Lençóis, Voluntário - Madrugada, Voluntário - Noite, Roupas femininas G/GG, Roupas Femininas, Água potável, Roupa Masculina, Roupas Pluz Size",-30.129124,-51.243047,Porto Alegre
EEEM ALCIDES CUNHA,"R. Hélio Pimpão, 52 - Morro Santana, Porto Alegre - RS, 91450-330 - Rio Grande do Sul",https://chat.whatsapp.com/DyKDqMF0D2IBnr2Dd8i3EB,Água,"Rolo Lona Preta 40m x 6m (mais grossa), Lona, Lona , Fraldas, Voluntário - Noite, Veterinários, Lonas, Fraldas Geriatricas, Cordas, Casinha para cachorro ",-30.0394275,-51.1230777,Porto Alegre
SHOPPING PONTAL,"Endereço: Av. Padre Cacique, 2893 - Cristal, Porto Alegre - Rs, 90810-240 - Rio Grande do Sul",Não informado,Água,"Lar Temporário Para Animais, Lona, Ponto De Resgate, Voluntários Para Animais (não Necessariamente Veterinário/a), Caixas de transporte para pets, Álcool em gel, Lanterna, Coleiras, Veterinários, Repelente ",-30.0792726,-51.24735159999999,Porto Alegre
EMEF GUSMÃO - SÃO LEOPOLDO,"Av. João Correa, 286 - Morro Do Espelho - Rio Grande do Sul",Não informado,Água,"Mascara, Cesta Básica, Roupa Masculina Gg, Escova de dentes, Fraldas, Repelente, Patê Para Cachorro, Luvas, Roupa Infantil Menino, Fita Durex larga",-29.76949,-51.138,São Leopoldo
IFRS DE CANOAS,"Rua Maria Zélia Carneiro De Figueiredo, 870 - Igara - Rio Grande do Sul",51995314966,Água,"Papagaio - Urinar, Papagaio, Desodorante , Shampoo, Cama Geriatria, Escova de cabelo, Toalhas, Cadeira De Rodas, Turnos de manhã, Roupas para adultos",-29.8992429,-51.1513927,Canoas
COLÉGIO MARIA AUXILIADORA,"Av. Guilherme Schell, 5888 - Centro, Canoas - RS, 92310-364 - Rio Grande do Sul",Não informado,Água,"Papel higiênico, Caixa de areia (gato), Leitos para animais, SACOS DE AREIA , Desodorante , Caixa De Transporte, Coleiras, Areia de gato, Lençóis, Chinelos",-29.9174107,-51.1831725,Canoas
ABRIGO NA WALIR ZOTTIS 380 JD. ITU SABARÁ,"Rua Walir Zottis, 380 - Jd. Itu Sabará - Rio Grande do Sul",Não informado,Água,"Macarrão, Desinfetante, Café, Escova de dentes, Desodorante , Feijão, Pente/Escova de cabelo, Arroz, Condicionador , Gilete",-30.0147679,-51.1374376,Porto Alegre
MODULAR,"Av. Santos Ferreira, 3500 - Canoas - Rio Grande do Sul",Não informado,Água,"Alimentos para consumo rápido (Leite, bolacha, suco, etc), Comidas Não Perecíveis, Colher Descartável, Cesta Básica, Coleiras, Água, Cesta Básica, Lanches, Tapete higiênico",-29.9245292,-51.14482100000001,Canoas
CENTRO DE EVENTOS - SÃO LEOPOLDO,"Av. São Borja, 1860 - Rio Branco - Rio Grande do Sul",Não informado,Água,"Roupas para crianças, Papel higiênico, Fórmula infantil, Produtos de desinfecção (cloro, álcool), Copos, Medicamentos veterinários, Cobertores, Medicamentos prescritos, Roupas para adultos, Absorventes higiênicos",-29.7813945,-51.1220368,São Leopoldo
IPA - CENTRO UNIVERSITÁRIO METODISTA,"Rua Coronel Joaquim Pedro Salgado, 80 - Rio Branco, Porto Alegre - Rs, 90420-060 - Rio Grande do Sul",Não informado,Água,"Pão, Roupa Íntima (adulto) Feminina E Masculina, Pão De Sanduíche, Água, Arroz, Sucos, Água potável, Papel toalha, TELAS / CHIQUEIROS , Papel higiênico",-30.03396669999999,-51.1971475,Porto Alegre
COLÉGIO JÚLIO DE CASTILHOS,"Av. Piratini, 76 - Santana, Porto Alegre - Rs, 90040-160 - Rio Grande do Sul",51984525490,Água,"Banana, Cebola, Frutas, Alface, Tomate, Luva G, Jogo de cartas, baralho, dama e dominó, etc, Seringa De Insulina, Desodorante , Seringa 3 E 5ml Com Agulha 70x30",-30.0441372,-51.2127628,Porto Alegre
CETE MENINO DEUS,"R. Gonçalves Dias, 700 - Menino Deus, Porto Alegre RS, 90130-060 - Rio Grande do Sul",https://chat.whatsapp.com/IfqeUKTePcQLKr5sNeJUf4,Água,"Medicamentos prescritos, Comidas Não Perecíveis, Toalhas, Álcool em gel, Fórmula infantil, Lanterna, Repelente , Água potável, ROUPAS INTIMAS - CUECAS - G , Bermuda Masculina",-30.0566012,-51.2196691,Porto Alegre
CAIXEIROS VIAJANTES,"Rua Dona Laura, 646 - Rio Branco, Porto Alegre - Rio Grande do Sul",Não informado,Água,"Roupas para crianças, Repelente, Hipoglós, Água potável, Talheres, Tapetes higiênicos, Papel higiênico , Papel toalha, Guardanapo de papel, Papel higiênico",-30.0292037,-51.19914989999999,Porto Alegre
AABB,"Av. Cel. Marcos, 1000 - Pedra Redonda, Porto Alegre - RS, 91760-000 - Rio Grande do Sul",Não informado,Água,"Médicos, Pratos, Psicólogos, Veterinários, Roupas íntimas, Talheres, Papelão, Comidas Não Perecíveis, Lençóis, Voluntário - Madrugada",-30.1240686,-51.2457055,Porto Alegre
SOCIEDADE RECREATIVA BANGU - SÃO LEOPOLDO,"Rua Do Carioca, 345 - São João Batista - Rio Grande do Sul",Não informado,Água,"Médicos, Kits de primeiros socorros, Colchões, Água potável, Cobertores, Talheres, Pratos, Fraldas, Fórmula infantil, Produtos de desinfecção (cloro, álcool)",-29.7897144,-51.1665863,São Leopoldo
EEEM PROFª MARGOT T.N. GIACOMAZZI,"Rua Arroio Do Sal 55, Bairro Estância Velha, Canoas/rs - Rio Grande do Sul",5151982093933,Água,"Medicamentos prescritos, Voluntário - Manhã, Fórmula infantil, Roupas íntimas, Produtos de desinfecção (cloro, álcool), Medicamentos veterinários, Leitos para animais, Absorventes higiênicos, Fraldas, Sacos de lixo",-29.90791,-51.147272,Canoas
LINDÓIA TÊNIS CLUBE,"Tv. Cmte. Gustavo Cramer, 90 - Jardim Lindóia, Porto Alegre - RS, 91050-190 - Rio Grande do Sul",Não informado,Água,"Roupas para crianças, Roupa Masculina Gg, Roupa Infantil 8-10 Anos, Roupa Masculina Adulta, Roupas íntimas, Roupa Masculina, Absorventes higiênicos, Fórmula infantil, Assistentes Sociais, Produtos de desinfecção (cloro, álcool)",-30.0028995,-51.1517602,Porto Alegre
IGREJA LUTERANA CONGREGAÇÃO SÃO PAULO,"Rua Cipó, 450 - Vila Ipiranga, Porto Alegre - Rio Grande do Sul",51991998738,Água,"Cesta Básica, Leite, Fralda P, Roupas para crianças, Embalagem descartável para as marmitas, Lixeiras, Desinfetante, Chupeta/bico, Papel higiênico, Roupas para adultos",-30.0199672,-51.1587408,Porto Alegre
ABRIGO EXTREMO SUL,"Av. Heitor Vieira 494, Belém Novo - Rio Grande do Sul",Não informado,Água,"Sabonete infantil , Turnos de noite, Fraldas, Turnos de tarde",-30.2108074,-51.182621,Porto Alegre
CTG TIO LAUTÉRIO - SÃO LEOPOLDO,"Av Tharcilo Nunes, 301 - Santo Andre - Rio Grande do Sul",Não informado,Água,"Antipulgas - Animais Pequeno Porte, Coleiras, Ração para animais, Higiene Pessoal, Produtos de higiene",-29.7724161,-51.1132612,São Leopoldo
COLEGIO MAE DE DEUS,"R. Dr. Mário Totta, 1252 - Tristeza, Porto Alegre - Rs, 91920-130 - Rio Grande do Sul",555191528876,Água,"Garfo e faca, Pano de chão, Água potável, Talheres, Roupas íntimas, Sacos de lixo, Pano de prato",-30.1120498,-51.24841499999999,Porto Alegre
IGREJA BATISTA DO PASSO DA AREIA,"Av. Francisco Silveira Bitencourt, 1135 - Sarandi, Porto Alegre - RS, 91150-010 - Rio Grande do Sul",51984235271,Água,"Fórmula infantil, Lanternas, Roupas para crianças, Medicamentos prescritos, Médicos, Papel higiênico, Lençóis, Cadeiras (tipo de praia), Roupas para adultos, Leitos para animais",-29.9933507,-51.1188121,Porto Alegre
IGREJA DA PAZ,"Rua Dim Diogo De Souza 370/390, Cristo Redentor - Rio Grande do Sul",5191511215,Água,"Lanternas, Comidas Não Perecíveis, Repelente, Água potável",-30.01386549999999,-51.1545577,Porto Alegre
PARÓQUIA SANTA LUZIA - CANOAS,"Av. Santos Ferreira, 3850 - Rio Grande do Sul",51991284766,Água,"Colher Descartável, Potes (marmitex), Talheres, Lanternas, Pilha Aa, Guarda-sol, Luz de Emergência, Antipulgas - Animais Pequeno Porte, Repelente, Colchões",-29.3646459,-51.6657692,Boa Vista do Sul
SOGIPA,"R. Barão do Cotegipe, 415 - São João, Porto Alegre - RS, 90540-020 - Rio Grande do Sul",https://chat.whatsapp.com/D28C59oCQL517LqdX1JhtJ,Água,"Pratos, Voluntário - Noite, Talheres, Pomada para assadura, Chinelos, Fraldas, Escova de cabelo, Fraldas Adultas, Roupas íntimas, Meias",-30.0097359,-51.1880348,Porto Alegre
IGREJA BATISTA BRAZA - ZN,"Rua Dona Alzira, 275 - Rio Grande do Sul",https://chat.whatsapp.com/KSBD1ZUHc5B7NcadJxmAHI,Água,"Veterinários, Luvas descartáveis , Papel toalha, Lençóis, Baldes, Desodorante , Álcool em gel, Lanterna, Colchões, Travesseiro",-30.0076442,-51.1379387,Porto Alegre
CAIC MADEZZATTI - SÃO LEOPOLDO,"Av. Integração, 1009 - Feitoria - Rio Grande do Sul",Não informado,Água,"Produtos de desinfecção (cloro, álcool), Medicamentos veterinários, Kits de primeiros socorros, Comidas Não Perecíveis, Fraldas, Remédios básicos, Roupas íntimas",-29.7486023,-51.0973457,São Leopoldo
ESEFID,"R. Felizardo, 750 - Jardim Botânico, Porto Alegre - RS, 90690-200 - Rio Grande do Sul",https://chat.whatsapp.com/GPWQtgnCHEiIHGs29KKnfp,Água,"Água, Talher Descartável , Detergente, Água Sanitária, Chimia, Sabonete Líquido, Luvas descartáveis , Luva de Latex Descartável, Pano De Chão / Saco Alvejado, Leite",-30.0509364,-51.1825257,Porto Alegre
GNU - GRÊMIO NÁUTICO UNIÃO - SEDE MOINHOS DE VENTO,"R. Quintino Bocaiúva, 500 - Moinhos de Vento, Porto Alegre - RS, 90440-050 - Rio Grande do Sul",https://chat.whatsapp.com/GQXallZnpaV3SSfHIKtkeo,Água,"Toalhas, Probiótico Para Animais, Escova Para Limpar Mamadeira, Molho de tomate, Açúcar, Lençóis, Frutas, Fórmula infantil, Colchões, Pente/Escova de cabelo",-30.0219344,-51.1980351,Porto Alegre
ESCOLA PAULO FREIRE,"R. Ernesto Che Guevara, 281 - Guajuviras, Canoas - Rs, 92440-848 - Rio Grande do Sul",51981424661,Água,"Voluntário - Tarde, Voluntário - Manhã, Voluntário - Noite",-29.8904101,-51.1292424,Canoas
IGREJA DA LAGOINHA,"R. Prof. Guerreiro Lima, 476 - Partenon Porto Alegre - Rs, 91530-190 - Rio Grande do Sul",Não informado,Água,"Comidas Não Perecíveis, Papel higiênico, Pratos, Roupas para adultos, Roupas leves, Sacos de lixo, Produtos de desinfecção (cloro, álcool), Copos, Talheres",-30.0585149,-51.1544922,Porto Alegre
UNIRITTER - CAMPUS FAPA,"Av. Manoel Elias, 2001 - Passo Das Pedras, Porto Alegre - Rs, 91240-261 - Rio Grande do Sul",51981405764,Água,"Roupa Íntima Infantil, Pão, Papel toalha, Roupas para crianças, Desinfetante, Toucas, Pratos, Luvas Descartáveis, Colher Descartável, Café",-30.0330961,-51.121655,Porto Alegre
COLÉGIO ROSÁRIO,"Praça Dom Sebastião, 2 - Independência, Porto Alegre - RS, 90035-080 - Rio Grande do Sul",Não informado,Água,"Sabonetes, Água potável, Lenço umedecido ",-30.0302541,-51.2184298,Porto Alegre
BOM JESUS,"Bom Jesus, Rua Dezessete Numero 80 - Rio Grande do Sul",5199217‑5830,Água,"Medicamentos prescritos, Água potável, Ventilador",-30.0455313,-51.1579574,Porto Alegre
PARÓQUIA DIVINO ESPÍRITO SANTO,"R. Bôrtolo Barbieri, 80 - Jardim São Pedroporto Alegre - Rs, 91040-160 - Rio Grande do Sul",5185534090,Água,"Luminárias com pedestal para área saúde 1m altura pelo menos, Gelo, Ganchos para montar varal, Plus Size/GG, Freezer para armazenar comida, Máquina de lavar roupa, Luvas para limpeza, Bermudas, Assento para vaso sanitário, Calçado masculino",-30.0049773,-51.1652791,Porto Alegre
CASA DE ABRIGO DE ANIMAIS,"R. Dr. Barbosa Gonçalves 61, Chácara Das Pedras - Porto Alegre - Rio Grande do Sul",Não informado,Água,"Cadeiras (tipo de praia), Leitos para animais, Kits de primeiros socorros, Ventiladores, Jornal/Papelão , Colchões, Travesseiro, Sacos de lixo, Água potável, Medicamentos veterinários",-30.0350946,-51.1617453,Porto Alegre
UNILASALLE CENTRO - CANOAS,"Av. Victor Barreto, 2288 - Rio Grande do Sul",51989072153,Água,"Roupas íntimas, Feijão , Carne Gado, Frios, Café, Massa, Carne Frango, Arroz, Farinha",-29.9174051,-51.1802408,Canoas
IGREJA CASA CHURCH RERSTINGA,"Av. Ignês E Fagundes, 1248-1210 - Restinga, Porto Alegre - Rio Grande do Sul",Não informado,Água,"Comidas Não Perecíveis, Lanternas, Kits de primeiros socorros, Fórmula infantil, Remédios básicos, Sacos de lixo, Produtos de desinfecção (cloro, álcool), Copos, Medicamentos veterinários",-30.1463435,-51.1449655,Porto Alegre
EDGAR FONTOURA,"R. São Pedro, 555 - Mal. Rondon, Canoas - Rs, 92020-480 - Rio Grande do Sul",51993145966,Água,"Colchões, Chupeta/bico, Travesseiros, Toalhas de banho, Fronhas, Pente/Escova de cabelo, Água, Elástico Para Cabelo",-29.9181301,-51.1691393,Canoas
AFISVEC,"Rua salvador calamussi, 56 - Cavalhada, Porto Alegre - Rio Grande do Sul",Não informado,Água,"Água potável, Roupas plus size feminina, Roupas leves, Voluntário - Noite, Coleiras, Bermudas, Roupas Pluz Size, Cordas",-30.09702829999999,-51.2269952,Porto Alegre
COLÉGIO SANTA DOROTEIA,"Rua mali, 405 - Cristo Redentor, Porto Alegre - Rio Grande do Sul",Não informado,Água,"Gelo, Malas de Viagem, Roupa Íntima (adulto) Feminina E Masculina, Travesseiros, Chinelos, Frutas, luvas, máscaras, Banheiro Químico (apenas Chuveiro), Bonés",-30.0145034,-51.1494325,Porto Alegre
AABB - CANOAS,"Rua Santa Terezinha, 860 - Rio Grande do Sul",51989266224,Água,"Fralda P, Comidas Não Perecíveis, Produtos de limpeza, Banana, Pano De Limpeza, Baldes, Água Sanitária, Bolachinha , Pão De Sanduíche, Vassouras e rodos",-29.3646459,-51.6657692,Boa Vista do Sul
CLÍNICA AMETISTA,"R. Portugal, 544 - São João, Porto Alegre - RS, 90520-310 - Rio Grande do Sul",Não informado,Água,"Veterinários, Papel higiênico, Colchões, Coleiras, Sacos de lixo, Produtos de desinfecção (cloro, álcool), Água potável",-30.0134283,-51.1831512,Porto Alegre
ESCOLA EDU.CO - CANOAS,"Av. Inconfidência, 460 - Nossa Sra. Das Gracas, Canoas - Rio Grande do Sul",51993744139,Água,"Escova de dentes, Lenços umedecidos, Desodorante , Shampoo, Roupas Femininas, Fralda XG e XXG, Roupa Masculina",-29.9245355,-51.1757368,Canoas
COLÉGIO ANCHIETA,"Av. Dr. Nilo Peçanha, 1521 - Três Figueiras, Porto Alegre - RS, 91330-000 - Rio Grande do Sul",Não informado,Água,"Roupas para crianças, Papel higiênico, Lençóis, Roupas para adultos, Sabonetes, Absorventes higiênicos, Escova de dentes, Fraldas, Roupas para frio, Colchões",-30.0295382,-51.175124,Porto Alegre
AMRIGS,"Av. Ipiranga, 5311 - Partenon, Porto Alegre - RS, 90610-001 - Rio Grande do Sul",Não informado,Água,"Lanternas, Comidas Não Perecíveis, Papel higiênico, Lençóis, Sabonetes, Absorventes higiênicos, Escova de dentes, Fraldas, Colchões, Ração para animais",-30.057263,-51.186334,Porto Alegre
ABRIGO CRISTO REDENTOR,"Rua Ouro Preto, 408a, Porto Alegre, Bairro Cristo Redentor - Rio Grande do Sul",51994317578,Água,"Creme de pentear, Lençóis, Travesseiros, Lenços umedecidos, Sabonetes, Colchões, Fita adesiva (durex), Roupas íntimas, Água, Sacos de lixo",-30.0026262,-51.155601,Porto Alegre
SESCRS,"Av. Protásio Alves, 6220 - Petrópolis, Porto Alegre - RS, 91310-001 - Rio Grande do Sul",Não informado,Água,"Roupa íntima feminina, Roupas íntimas, toalhas, Copos",-30.0414975,-51.1491262,Porto Alegre
PETMEDIC POA,"R. Carazinho, 335 - Petrópolis, Porto Alegre - Rio Grande do Sul",Não informado,Água,"pallets, Ração gato, tapete higienico, Água",-30.0403943,-51.1835181,Porto Alegre
PUCRS - PARQUE ESPORTIVO,"80 e 81, Av. Ipiranga, 6690 - Partenon, RS, 90619-900 - Rio Grande do Sul",https://chat.whatsapp.com/FThTzwV6WJd3HdJCFRwWOT,Água,"Ventiladores, Capas de chuva, Toalha de Banho, Guarda-chuva",-30.0553383,-51.1736419,Porto Alegre
101 VIRA LATAS (ONG),"Rua Sete Irmãos, 190 - Rio Grande do Sul",Não informado,Água,"Água potável, Leitos para animais, Coleiras, Ração para animais",-29.3646459,-51.6657692,Boa Vista do Sul
GINÁSIO UNISINOS - SÃO LEOPOLDO,"Av. Unisinos, 950 - Rio Grande do Sul",Não informado,Água,"Remédios básicos, Roupas íntimas, Água potável, Cobertores, Roupas para crianças, Alimentos para consumo rápido (Leite, bolacha, suco, etc), Frios, Roupas para adultos, Farinha de trigo, Desodorante ",-29.3646459,-51.6657692,Boa Vista do Sul
CASA DA CRIANCA N SRA AUXILIADORA,"R. Felipe Neri, 78 - Auxiliadora, Porto Alegre - Rs, 90440-150 - Rio Grande do Sul",51993695577,Água,"Cordas, Veterinários",-30.0231652,-51.1949675,Porto Alegre
IGREJA QUADRANGULAR - PARTENON,"Rua Ângelo Barcelos, 35 - Partenon - Rio Grande do Sul",Não informado,Água,"Comidas Não Perecíveis, Papel higiênico, Lençóis, Kits de primeiros socorros, Fraldas, Remédios básicos, Água, Água potável, Copos, Cobertores",-30.0627072,-51.1767702,Porto Alegre
ASTTI,"Beco Souza Costa, 750 - Jardim Ypu, Porto Alegre - Rs, 91450-140 - Rio Grande do Sul",Não informado,Água,"Massinha De Modelar, Roupas plus size masculino, Comidas Não Perecíveis, Roupas plus size feminina, Saco De Lixo De Vários Tamanhos, Chinelos, Baralhos, Roupas íntimas, Erva Mate, Touca Descartável",-30.0486838,-51.1390812,Porto Alegre
GINÁSIO BRIGADA,"R. Cel. Aparício Borges, 2001 - Glória, Porto Alegre - RS, 90680-570 - Rio Grande do Sul",Não informado,Água,"Roupas íntimas, Voluntário - Noite",-30.0707825,-51.1870114,Porto Alegre
COLÉGIO CRISTO REDENTOR,"Av. Inconfidência, 1231 - Bairro Mal. Rondon - 92020-303 - Canoas/rs - Rio Grande do Sul",51996216499,Água,"Jogo de cartas, baralho, dama e dominó, etc",-29.9216539,-51.1693231,Canoas
TESOURINHA [EVACUADO],"Av. Érico Veríssimo, s/n - Menino Deus, Porto Alegre - RS, 90160-180 - Rio Grande do Sul",Não informado,Água,Não informado,-30.0514981,-51.2182643,Porto Alegre
OPINIÃO [EVACUADO],"R. José Do Patrocínio, 834 - Cidade Baixa - Rio Grande do Sul",Não informado,Água,Não informado,-30.0417573,-51.220909,Porto Alegre
DROP BAR [EVACUADO],"R. Gen. Lima e Silva, 1647 - Cidade Baixa, Porto Alegre - RS, 90050-102 - Rio Grande do Sul",Não informado,Água,LOCAL DESATIVADO - CB - nova local Graciliano Ramos 217,-30.0465376,-51.2152249,Porto Alegre
ESTÁDIO OLÍMPICO MONUMENTAL,Bairro Medianeira; entrada pela Azenha - Rio Grande do Sul,Não informado,Água,"Comidas Não Perecíveis, Papel higiênico, Sabonetes, Absorventes higiênicos, Escova de dentes, Fraldas, Colchões, Pasta de dente, Cobertores",-30.0510207,-51.21291489999999,Porto Alegre
IGREJA ANCORA - SÃO LEOPOLDO,Cristopher Levalley 1007 - Rio Grande do Sul,Não informado,Água,"Açúcar, Feijão, Azeite, Sal, Polenta, Arroz",-29.3646459,-51.6657692,Boa Vista do Sul
AABB - SÃO LEOPOLDO,"Rua Cristopher Levalle, 74 - São Borja - Rio Grande do Sul",Não informado,Água,"Papel toalha, Calçados, Desodorante , Talher Descartável , Roupa plus size, Bermuda Masculina",-29.7994986,-51.1058662,São Leopoldo
GINÁSIO REDE CALÁBRIA,"Estrada Aracaju, 650, Vila Nova - Rio Grande do Sul",Não informado,Água,"Comidas Não Perecíveis, Lençóis, Roupas para adultos, Sabonetes, Roupas para frio, Cobertores",-30.101955,-51.2172951,Porto Alegre
RUS UFRGS,"R. Ramiro Barcelos, 2500 - Santana, Porto Alegre - RS, 90035-003 - Rio Grande do Sul",Não informado,Água,"Papel higiênico, Sabonetes, Escova de dentes, Pasta de dente, Água potável",-30.0422139,-51.2077125,Porto Alegre
CCEI RECANTO DA CRIANÇA - SÃO LEOPOLDO,"Av. Feitoria, 2942, Feitoria - Rio Grande do Sul",Não informado,Água,"Fraldas, Colchões, Roupas íntimas, Itens de higiena pessoal, Itens de limpeza",-29.7601014,-51.11001659999999,São Leopoldo
MULHERES EM REDE / CONSEPRO,"João Salomoni, 1083 - Vila Nova - Rio Grande do Sul",Não informado,Água,"Comidas Não Perecíveis, Sabonetes, Escova de dentes, Pasta de dente",-30.1144612,-51.2156123,Porto Alegre
ESCOLA DRUMMOND - CANOAS,"Rua 06, 400 - Setor 5 Quadra X - Guajuviras, Canoas - Rs - Rio Grande do Sul",51991052300,Água,"Achocolatado pronto, Travesseiro, Leite, Cobertores",-29.9089819,-51.1365619,Canoas
AMORJI (ASSOCIAÇÃO IGARA) - CANOAS,"R. Das Azaléias, 189 - Igara Ii, Canoas - Rs, 92410-520 - Rio Grande do Sul",51992810060,Água,"Toalhas de banho, Travesseiros/almofada, Colchões, Roupas de Camas ",-29.9001427,-51.1556636,Canoas
21 BPM,"R. Gov Peracchi Barcellos, 4600 - Restinga, Porto Alegre - Rio Grande do Sul",Não informado,Água,"Voluntário - Tarde, Voluntário - Manhã, Voluntário - Noite, Sacolas Para Montar Kits",-30.1525394,-51.1521074,Porto Alegre
STIHL - SÃO LEOPOLDO,"Av. São Borja, 3000 - Fazenda São Borja - Rio Grande do Sul",Não informado,Água,"Feijão , Molho de tomate, Massa, Arroz",-29.788062,-51.11507899999999,São Leopoldo
SOCIEDADE MAUÁ - SÃO LEOPOLDO,"Av. Feitoria, 3171 - Feitoria - Rio Grande do Sul",Não informado,Água,"Produtos de limpeza, Fralda XG e XXG, Gilete, Água potável",-29.759014,-51.1080984,São Leopoldo
